extractor,seed,block,method,events,expected,arl0_hat,p_value,dispersion,stream_windows
imagenet,52,layer4,HDDDM,33,29.99735135135135,336.33393939393943,0.6305684487342333,1.2828282828282829,11099.02
imagenet,52,layer4,PSI,23,29.99735135135135,482.56608695652176,0.2294723966414121,0.7777777777777779,11099.02
imagenet,52,layer4,T2,18,29.99735135135135,616.6122222222223,0.02589541529640437,0.8395061728395061,11099.02
imagenet,52,layer4,Frechet,38,29.99735135135135,292.07947368421054,0.17786386514626654,1.04093567251462,11099.02
imagenet,52,layer4,MMD,39,29.99735135135135,284.5902564102564,0.1295606611505475,0.36752136752136755,11099.02
imagenet,52,layer4,CUSUM,1287,29.99735135135135,8.623947163947165,0.0,947.7614607614607,11099.02
imagenet,52,layer4,EWMA,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.8243727598566308,11099.02
imagenet,52,layer4,SPE,43,29.99735135135135,258.1167441860465,0.029600447151720666,0.9328165374677003,11099.02
imagenet,52,layer4,CUSUM-R,32,29.99735135135135,346.844375,0.762341681982474,0.055555555555555546,11099.02
imagenet,52,vae_latent,KSWIN,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.3225806451612905,11099.02
imagenet,52,vae_latent,KL-Gauss,10,29.99735135135135,1109.902,4.477828481067406e-05,1.5555555555555556,11099.02
imagenet,52,vae_latent,KL-Hist,32,29.99735135135135,346.844375,0.762341681982474,0.5416666666666666,11099.02
imagenet,52,vae_latent,HDDDM,24,29.99735135135135,462.4591666666667,0.3147097585278856,1.0370370370370372,11099.02
imagenet,52,vae_latent,PSI,26,29.99735135135135,426.8853846153846,0.5349856860331688,0.5299145299145299,11099.02
imagenet,52,vae_latent,T2,28,29.99735135135135,396.3935714285714,0.8065368932206457,1.6507936507936511,11099.02
imagenet,52,vae_latent,Frechet,16,29.99735135135135,693.68875,0.00775565463812534,1.0,11099.02
imagenet,52,vae_latent,MMD,9,29.99735135135135,1233.2244444444445,1.4270414025276317e-05,0.6049382716049383,11099.02
imagenet,52,vae_latent,CUSUM,103,29.99735135135135,107.75747572815534,3.666419863554023e-25,103.0,11099.02
imagenet,52,vae_latent,EWMA,42,29.99735135135135,264.26238095238097,0.04416006020562359,0.6772486772486771,11099.02
